State,Account length,Area code,International plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls
LA,172,408,0,0,212.0,121,31.2,115,293.3,78,12.6,10,3
AZ,12,408,0,0,249.6,118,252.4,119,280.2,90,11.8,3,1
OK,57,408,0,25,176.8,94,195.0,75,213.5,116,8.3,4,0
GA,72,415,0,37,220.0,80,217.3,102,152.8,71,14.7,6,3
MA,78,415,0,0,130.8,64,223.7,116,227.8,108,10.0,5,1
AK,136,415,1,33,203.9,106,187.6,99,101.7,107,10.5,6,3
NJ,149,408,0,0,140.4,94,271.8,92,188.3,108,11.1,9,1
GA,98,408,0,0,126.3,102,166.8,85,187.8,135,9.4,2,3
MD,135,408,1,41,173.1,85,203.9,107,122.2,78,14.6,15,0
AR,34,510,0,0,124.8,82,282.2,98,311.5,78,10.0,4,2
ID,160,415,0,0,85.8,77,165.3,110,178.5,92,9.2,4,3
WI,64,510,0,0,154.0,67,225.8,118,265.3,86,3.5,3,1
OR,59,408,0,28,120.9,97,213.0,92,163.1,116,8.5,5,2
DE,142,408,0,0,187.0,133,134.6,74,242.2,127,7.4,5,2
WY,97,415,0,24,133.2,135,217.2,58,70.6,79,11.0,3,1
IA,52,408,0,0,191.9,108,269.8,96,236.8,87,7.8,5,3
IN,60,408,0,0,220.6,57,211.1,115,249.0,129,6.8,3,1
UT,96,415,0,0,160.2,117,267.5,67,228.5,68,9.3,5,2
WY,87,415,0,0,151.0,83,219.7,116,203.9,127,9.7,3,5
IN,81,408,0,0,175.5,67,249.3,85,270.2,98,10.2,3,1
CO,141,415,0,0,126.9,98,180.0,62,140.8,128,8.0,2,1
CO,121,408,0,30,198.4,129,75.3,77,181.2,77,5.8,3,3
OK,125,408,0,0,229.3,103,177.4,126,189.3,95,12.0,8,1
ID,174,408,0,0,192.1,97,169.9,94,166.6,54,11.4,4,1
CA,116,415,0,34,268.6,83,178.2,142,166.3,106,11.6,3,2
SD,149,408,0,28,180.7,92,187.8,64,265.5,53,12.6,3,3
NC,38,408,0,0,131.2,98,162.9,97,159.0,106,8.2,6,2
WA,40,415,0,41,148.1,74,169.5,88,214.1,102,6.2,5,2
WY,43,415,1,0,251.5,105,212.8,104,157.8,67,9.3,4,0
MN,113,408,1,0,125.2,93,206.4,119,129.3,139,8.3,8,0
UT,126,408,0,0,211.6,70,216.9,80,153.5,60,7.8,1,1
TX,150,510,0,0,178.9,101,169.1,110,148.6,100,13.8,3,4
NJ,138,408,0,0,241.8,93,170.5,83,295.3,104,11.8,7,3
MN,162,510,0,46,224.9,97,188.2,84,254.6,61,12.1,2,0
NM,147,510,0,0,248.6,83,148.9,85,172.5,109,8.0,4,3
NV,90,415,0,0,203.4,146,226.7,117,152.4,105,7.3,4,1
MN,50,415,0,0,157.1,90,223.3,72,181.4,111,6.1,2,1
DC,82,415,0,0,300.3,109,181.0,100,270.1,73,11.7,4,0
NY,144,408,0,0,61.6,117,77.1,85,173.0,99,8.2,7,4
MD,70,408,0,0,170.2,98,155.2,102,228.6,76,15.0,2,1
WV,144,415,0,0,201.1,99,303.5,74,224.0,119,13.2,2,1
OR,116,415,1,0,215.4,104,204.8,79,278.5,109,12.6,5,3
CO,55,408,0,25,165.6,123,136.1,95,175.7,90,11.0,2,3
GA,70,415,0,24,249.5,101,259.7,98,222.7,68,9.8,4,1
TX,106,510,0,0,210.6,96,249.2,85,191.4,88,12.4,1,2
IN,94,408,0,0,157.9,105,155.0,101,189.6,84,8.0,5,4
WV,111,510,0,0,214.3,118,208.5,76,182.4,98,12.0,2,1
KY,74,415,0,35,154.1,104,123.4,84,202.1,57,10.9,9,2
NJ,128,415,0,0,237.9,125,247.6,93,208.9,68,13.9,4,1
DC,82,510,0,0,143.9,61,194.9,105,109.6,94,11.1,2,1
AR,80,415,0,0,124.3,100,173.0,107,253.2,62,7.9,9,1
ME,78,415,0,0,252.9,93,178.4,112,263.9,105,9.5,7,3
AZ,90,415,0,0,179.1,71,190.6,81,127.7,91,10.6,7,3
AK,104,408,0,0,278.4,106,81.0,113,163.2,137,9.8,5,1
AZ,99,415,0,0,198.2,87,207.3,76,190.9,113,8.7,3,4
MS,120,408,0,0,212.1,131,209.4,104,167.2,96,5.3,5,1
IA,98,510,0,21,161.2,114,252.2,83,160.2,92,4.4,8,4
VT,135,415,0,0,151.7,82,119.0,105,180.0,100,10.5,6,0
IN,122,408,0,0,170.5,94,173.7,109,248.6,75,11.3,2,1
AZ,95,408,0,0,238.1,65,187.2,98,190.0,115,11.8,4,4
NM,93,510,0,21,117.9,131,164.5,115,217.0,86,9.8,3,1
UT,157,408,0,0,229.8,90,147.9,121,241.4,108,9.6,7,3
MI,120,408,0,0,165.0,100,317.2,83,119.2,86,8.3,8,1
MA,103,415,0,0,185.0,117,223.3,94,222.8,91,12.6,2,2
AL,98,408,0,0,161.0,117,190.9,113,227.7,113,12.1,4,4
DE,125,408,0,0,126.7,108,206.0,90,247.8,114,13.3,7,1
ME,36,510,1,42,196.8,89,254.9,122,138.3,126,20.0,6,0
NJ,64,510,0,0,162.6,83,152.3,109,57.5,122,14.2,3,1
NV,74,415,0,0,282.5,114,219.9,48,170.0,115,9.4,4,1
MO,112,510,0,36,113.7,117,157.5,82,177.6,118,10.0,3,2
NE,46,408,0,0,210.2,92,227.3,77,200.1,116,13.1,7,1
TX,41,408,0,22,213.8,102,141.8,86,142.2,123,7.2,3,0
MD,121,510,0,0,190.7,103,183.5,117,220.8,103,9.8,4,3
MS,193,415,0,0,170.9,124,132.3,95,112.9,89,11.6,3,1
NV,130,510,0,0,154.2,119,110.2,98,227.4,117,9.2,5,2
AZ,85,408,0,0,201.4,52,229.4,104,252.5,106,12.0,3,1
MS,162,415,0,0,70.7,108,157.5,87,154.8,82,9.1,3,4
MS,61,510,0,27,187.5,124,146.6,103,225.7,129,6.4,6,4
TX,92,408,0,0,91.7,90,193.7,123,175.0,86,9.2,4,2
NE,131,408,0,36,214.2,115,161.7,117,264.7,102,9.5,4,3
NE,90,415,0,0,145.5,92,217.7,114,146.9,123,10.9,2,3
NJ,78,415,0,0,231.0,115,230.4,140,261.4,120,9.5,3,1
TX,82,408,0,0,200.3,96,201.2,102,206.1,60,7.1,1,4
AR,163,408,0,0,197.0,109,202.6,128,206.4,80,9.1,10,1
AL,91,510,1,0,129.9,112,173.3,83,247.2,130,11.2,3,3
NY,75,415,0,21,175.8,97,217.5,106,237.5,134,5.3,4,5
FL,91,510,0,0,203.1,106,210.1,113,195.6,129,12.0,3,3
AK,127,510,0,36,183.2,117,126.8,76,263.3,71,11.2,8,1
NV,113,415,0,23,205.0,101,152.0,60,158.6,59,10.2,5,2
DE,110,510,0,0,148.5,115,276.4,84,193.6,112,12.4,3,1
MD,120,415,0,39,200.3,68,220.4,97,253.8,116,10.5,4,0
MI,157,415,0,28,192.6,107,195.5,74,109.7,139,6.8,5,3
VT,103,510,0,0,246.5,47,195.5,84,200.5,96,11.7,4,1
VT,117,408,1,0,167.1,86,177.5,87,249.4,132,14.1,7,2
MI,140,415,0,0,231.9,101,160.1,94,110.4,98,14.3,6,3
UT,83,408,1,0,271.5,87,216.3,126,121.1,105,11.7,4,1
RI,145,408,0,43,257.7,97,162.1,95,286.9,86,11.1,4,2
IA,113,408,0,0,193.8,99,221.4,125,172.3,67,10.6,6,1
RI,56,415,0,0,226.0,112,248.5,118,140.5,142,6.9,11,1
OK,96,415,0,0,260.4,115,146.0,46,269.5,87,11.5,4,5
LA,151,408,0,0,178.7,116,292.1,138,265.9,101,9.8,4,0
OH,83,415,0,0,337.4,120,227.4,116,153.9,114,15.8,7,0
VA,139,510,0,23,157.6,129,247.0,96,259.2,112,13.7,2,0
FL,115,510,0,24,142.1,124,183.4,129,164.8,114,9.6,4,1
SC,87,415,0,0,136.3,97,172.2,108,137.5,101,7.1,5,0
VA,141,415,0,0,217.1,110,241.5,111,253.5,103,12.0,6,0
IA,141,510,0,36,187.5,99,241.4,116,229.5,105,10.5,5,3
MI,62,415,0,0,98.9,103,135.4,122,236.6,82,12.2,1,1
OK,146,415,0,0,206.3,151,148.6,89,167.2,91,6.1,3,1
DE,92,415,0,33,243.1,92,213.8,92,228.7,104,12.1,2,2
GA,185,510,0,31,189.8,126,163.3,133,264.8,126,7.5,3,1
DC,148,415,0,0,202.0,102,243.2,128,261.3,90,10.9,3,1
AZ,94,408,0,38,170.1,124,193.3,116,105.9,73,12.8,4,1
CO,68,408,0,0,237.1,105,223.5,105,97.4,79,13.2,2,1
LA,179,408,0,0,219.2,92,149.4,125,244.7,104,6.1,5,0
NE,94,415,0,0,252.6,104,169.0,125,170.9,106,11.1,7,2
MN,62,415,0,0,147.1,91,190.4,107,195.2,115,12.2,3,0
AR,116,408,0,0,173.5,93,194.1,76,208.0,112,16.2,10,3
KS,70,408,0,0,232.1,122,292.3,112,201.2,112,0.0,0,3
WV,94,510,1,23,197.1,125,214.5,136,282.2,103,9.5,5,4
AK,126,415,0,0,58.2,94,138.7,118,136.8,91,11.9,1,5
NY,67,408,0,36,115.6,111,237.7,94,169.9,103,9.9,12,2
NH,19,408,0,0,186.1,98,254.3,57,214.0,127,14.6,7,2
VA,170,510,1,0,259.9,68,245.0,122,134.4,121,8.4,3,3
NM,73,415,0,0,214.3,145,268.5,135,241.2,92,10.8,13,1
NY,106,408,0,0,158.7,74,64.3,139,198.5,103,10.2,4,1
WY,164,510,0,0,160.6,111,163.2,126,187.1,112,9.0,3,1
WA,51,408,0,0,232.4,109,187.4,95,231.2,107,9.1,3,1
CO,107,415,0,0,133.8,85,180.5,94,112.2,115,8.9,4,0
TX,130,415,0,0,176.9,109,90.7,104,238.0,69,9.5,2,1
KY,80,408,0,0,209.9,74,195.1,77,208.2,119,8.8,4,2
MT,94,415,0,0,137.5,118,203.2,88,150.0,131,13.4,2,0
OK,118,408,0,23,289.5,52,166.6,111,119.1,88,9.5,4,1
MD,117,415,0,23,198.1,86,177.0,86,180.5,92,6.8,6,1
TN,78,415,0,0,149.7,119,182.2,115,261.5,126,9.7,8,0
ME,131,510,1,26,292.9,101,199.7,97,255.3,127,13.8,7,4
DC,63,408,0,0,83.0,64,177.0,106,245.7,89,13.0,3,0
MN,53,415,0,24,145.7,146,220.5,136,249.9,96,13.1,5,3
DE,62,408,0,0,182.3,101,328.2,93,245.0,131,11.2,1,2
MD,97,415,0,0,218.0,86,184.0,94,240.5,110,6.4,8,3
MI,105,510,0,0,140.6,109,178.6,51,217.0,83,6.8,3,2
WA,157,415,0,0,152.7,105,257.5,80,198.1,93,9.4,4,1
MO,66,415,0,36,106.7,76,209.8,77,190.4,117,12.1,2,1
OR,38,415,0,0,194.4,94,186.7,95,223.3,90,10.8,5,3
MD,106,510,0,0,213.9,95,151.9,70,260.1,124,12.2,5,3
RI,99,510,0,0,217.2,112,246.7,89,226.1,89,15.8,7,3
AZ,144,510,1,0,203.5,100,247.6,103,194.3,94,11.9,11,0
PA,82,415,0,24,155.2,131,244.5,106,122.4,68,10.7,3,1
AZ,86,408,0,31,167.6,139,113.0,118,246.9,121,12.2,6,1
FL,70,510,1,0,226.7,98,228.1,115,73.2,93,17.6,4,2
LA,93,415,0,0,179.3,93,178.6,98,225.2,131,11.5,6,3
FL,93,415,0,0,151.4,89,186.4,76,172.5,120,10.9,3,0
FL,120,415,0,0,180.0,80,224.2,82,265.4,91,4.7,7,3
MD,136,415,0,0,250.2,121,267.1,118,151.0,114,13.0,2,1
AL,106,415,0,0,223.0,121,110.1,98,188.7,107,7.1,12,0
WA,81,415,0,0,183.6,116,152.6,98,212.2,99,12.2,6,3
TN,127,408,0,22,166.0,114,174.5,103,244.9,68,10.2,6,1
ME,35,408,0,0,149.3,113,242.2,122,174.3,104,8.9,6,2
OK,88,408,0,0,65.4,97,168.2,76,236.0,113,13.8,1,2
MO,123,415,0,0,206.9,85,244.7,78,221.5,136,7.7,2,3
IA,126,408,0,27,186.2,78,189.6,83,76.5,139,9.6,3,2
VA,104,415,0,23,280.2,136,220.5,92,136.9,102,13.3,3,4
MD,93,408,1,0,312.0,109,129.4,100,217.6,74,10.5,2,0
OH,63,415,1,36,199.0,110,291.3,111,197.6,92,11.0,6,1
OK,100,415,0,0,203.1,96,217.0,126,180.9,122,13.5,2,3
NV,53,415,0,0,168.8,97,220.3,87,154.3,113,10.9,2,0
ID,92,415,1,0,173.1,140,240.3,105,233.2,117,9.0,5,1
SD,110,408,0,40,202.6,103,118.8,128,234.9,98,9.0,9,2
IL,110,408,0,0,74.5,117,200.8,98,192.2,101,9.8,7,3
AL,73,415,0,0,192.2,86,168.6,116,139.8,87,9.4,6,1
NJ,138,510,0,0,220.2,89,88.3,125,195.3,79,12.9,5,0
NV,137,415,1,0,135.1,95,134.1,102,223.1,81,12.3,2,2
IN,36,415,0,0,253.4,77,182.4,151,275.8,103,8.4,2,1
WV,85,408,0,0,225.0,81,176.9,63,194.3,110,7.1,2,3
VA,108,408,0,0,198.5,99,267.8,60,354.9,75,9.4,3,0
SC,22,408,0,0,110.3,107,166.5,93,202.3,96,9.5,5,0
RI,107,415,0,37,60.0,102,102.2,80,261.8,106,11.1,3,0
IN,51,510,0,0,214.8,94,149.7,58,283.4,66,10.2,5,0
OR,33,415,0,29,157.4,99,117.9,80,279.2,79,13.9,11,4
NJ,106,415,0,0,207.9,91,172.0,109,191.8,143,14.4,7,4
MS,82,408,0,0,207.0,90,232.9,83,172.4,108,9.1,8,3
TX,97,415,1,0,143.7,117,273.0,82,178.3,81,10.9,3,0
DC,108,510,0,0,138.6,122,172.3,117,231.6,92,9.8,3,1
TX,114,415,0,0,84.7,118,249.9,86,193.4,95,14.5,8,1
UT,59,510,0,0,155.2,79,235.3,123,169.4,80,8.7,4,1
MN,24,510,0,25,164.9,110,209.3,105,231.2,55,6.7,9,1
IL,151,408,0,0,134.5,88,143.1,112,223.9,61,15.4,1,1
NM,117,415,0,0,143.3,103,211.3,108,185.2,96,11.5,3,1
WV,114,510,0,30,206.2,79,260.0,91,291.6,83,11.4,6,1
RI,114,510,0,28,225.8,94,193.0,117,232.4,100,8.4,9,4
NH,119,408,0,0,138.3,89,170.5,78,263.9,98,13.5,6,3
MA,118,408,1,0,160.0,123,175.4,96,184.8,99,9.9,3,2
PA,101,415,0,0,206.6,105,224.9,117,249.9,100,14.6,3,0
OK,117,415,0,0,134.7,121,180.0,83,200.9,104,7.7,3,1
AL,49,415,0,28,214.4,78,235.2,100,206.2,107,8.0,13,3
WY,139,415,0,0,192.8,104,234.4,96,203.2,101,13.0,3,3
PA,92,408,0,28,151.1,90,194.8,79,239.2,114,10.0,3,1
HI,148,510,1,0,218.9,88,208.0,85,203.3,99,11.1,4,0
AL,131,415,0,25,192.7,85,225.9,105,254.2,59,10.9,6,2
VT,146,510,1,0,204.4,135,219.1,90,222.7,114,10.5,6,3
AK,48,415,0,37,211.7,115,159.9,84,144.1,80,12.2,1,1
MI,86,415,0,28,221.6,74,288.4,100,240.3,105,9.0,2,1
DE,71,415,0,0,197.9,108,181.5,109,281.4,56,6.7,5,3
MI,137,510,0,0,206.4,122,128.0,102,194.5,84,8.8,5,2
KS,137,408,0,0,205.9,88,209.3,86,289.9,84,14.5,4,2
AL,167,510,0,0,207.6,88,132.4,63,255.2,98,14.1,5,0
NE,132,510,0,0,99.5,110,129.1,80,125.1,124,9.7,3,0
WI,94,510,0,0,177.1,112,194.0,112,146.7,108,5.9,4,1
WI,96,510,0,18,172.7,86,133.4,113,259.5,70,9.8,3,1
IN,166,510,0,0,204.2,115,179.9,152,216.8,109,9.5,5,1
DC,74,415,0,0,85.7,83,247.7,67,142.4,85,10.1,5,2
AR,36,415,0,0,157.6,117,184.3,58,240.4,99,11.9,1,0
ME,113,415,0,0,215.5,129,218.7,117,207.1,91,6.6,9,4
MD,67,415,0,0,171.7,80,110.4,81,195.4,111,11.9,4,2
IA,158,415,0,0,158.0,106,292.5,114,241.1,89,9.1,4,1
AZ,136,510,0,0,92.0,117,253.6,77,214.1,90,10.3,10,1
MO,196,415,0,0,234.0,109,249.5,114,173.1,70,9.1,5,2
VT,113,415,0,0,272.1,111,268.5,118,213.8,105,8.5,10,1
RI,112,510,0,0,194.4,101,190.3,82,183.4,107,11.4,2,0
SD,209,415,0,0,227.2,128,258.4,92,183.5,74,8.9,4,3
MN,62,415,0,0,248.7,109,220.0,118,265.7,78,13.2,2,1
TX,110,415,0,38,236.3,102,195.9,112,183.5,82,9.7,6,1
VA,16,510,0,0,205.6,69,169.5,93,220.1,64,10.9,3,0
MA,73,408,0,0,94.1,136,280.3,122,205.0,77,9.8,4,0
ID,128,408,0,0,125.2,99,205.4,107,254.4,111,18.9,2,0
MA,39,408,0,0,60.4,158,306.2,120,123.9,46,12.4,3,1
GA,103,415,0,28,121.0,105,270.4,100,160.5,76,7.7,4,2
RI,119,415,0,29,117.8,66,256.8,114,147.6,76,7.6,3,3
ID,173,510,0,21,232.4,96,211.9,118,273.0,102,5.0,5,3
SD,128,510,1,32,223.5,81,188.8,74,154.9,101,9.4,2,2
MA,86,510,0,0,176.3,79,259.2,97,287.4,78,6.2,3,0
WY,114,415,0,32,125.2,79,177.8,105,232.4,89,12.9,3,1
VA,104,408,0,0,138.7,107,256.9,113,234.9,74,10.0,3,0
OR,148,415,0,0,86.3,134,246.6,92,251.6,91,11.3,4,1
VA,129,408,0,0,207.0,91,154.9,121,245.1,112,13.4,5,3
ME,100,510,0,30,58.8,104,219.5,107,152.3,118,7.1,3,0
GA,143,408,0,33,239.2,109,235.5,112,156.3,95,9.5,4,1
IA,76,510,0,0,198.3,130,217.1,86,188.4,96,12.5,3,0
AZ,158,510,0,0,205.2,97,240.6,77,79.7,108,14.4,12,0
FL,116,510,0,0,192.1,98,312.9,135,130.2,94,7.9,2,3
MT,54,415,0,0,272.6,83,248.7,74,197.4,111,9.5,2,1
AL,86,415,0,0,128.3,121,197.1,93,138.4,152,12.2,5,7
DE,108,510,0,0,169.6,99,264.1,87,206.3,78,9.3,4,0
MT,66,510,0,0,201.3,95,152.8,66,233.2,101,7.5,4,1
KY,151,408,0,17,214.7,97,138.5,90,169.1,44,8.6,4,1
SC,99,510,0,0,169.2,70,271.5,77,170.2,104,10.6,2,0
WA,55,415,0,0,194.1,121,176.6,110,302.8,136,7.0,7,2
AK,78,408,0,0,225.1,67,199.2,127,175.5,102,14.6,2,0
GA,89,415,0,0,213.0,63,176.6,71,262.6,126,9.1,1,1
MN,101,415,0,0,183.9,115,255.9,101,275.0,145,10.8,11,1
IL,44,415,0,34,221.8,105,161.7,85,227.7,62,14.0,7,0
IN,98,408,0,21,64.6,98,176.1,86,244.8,84,0.0,0,2
SC,64,510,0,37,154.6,92,83.4,103,165.9,99,13.3,3,1
VA,141,415,0,0,260.2,131,179.2,120,135.0,119,7.2,8,3
WI,81,415,0,33,161.6,117,123.0,90,261.3,101,12.2,5,1
VT,162,510,0,0,220.6,117,155.2,121,186.7,89,10.5,11,1
AZ,83,415,0,41,155.9,122,162.3,107,127.6,105,13.1,5,3
FL,100,510,0,0,107.0,63,105.7,67,243.1,74,12.8,3,4
AK,59,510,0,0,182.5,104,204.7,95,229.9,100,11.3,8,4
AR,179,415,1,38,220.1,78,234.3,71,237.3,85,10.1,4,4
AR,79,408,0,0,152.2,112,177.2,132,96.4,87,5.3,3,1
AK,117,415,0,0,181.5,95,205.1,88,204.0,82,14.7,9,2
ME,31,415,0,0,166.1,105,79.3,93,213.7,98,12.7,2,1
NM,122,408,0,23,134.2,85,227.3,132,122.4,96,8.5,2,2
NE,37,408,1,39,149.7,122,211.1,75,114.3,90,9.2,4,1
SC,90,408,0,29,150.1,109,264.7,103,178.4,97,5.8,4,1
CO,159,408,1,0,257.1,53,312.2,127,183.0,82,8.8,6,1
OH,39,415,0,36,141.7,121,232.3,113,222.1,131,12.0,5,1
OK,194,408,0,0,162.3,88,213.7,118,192.1,81,10.9,2,0
CO,154,415,0,0,350.8,75,216.5,94,253.9,100,10.1,9,1
NC,112,415,0,0,193.3,96,264.1,123,128.6,115,9.1,3,4
MD,45,415,0,0,78.2,127,253.4,108,255.0,100,18.0,3,1
KS,132,415,0,0,83.4,110,232.2,137,146.7,114,7.6,5,1
MA,128,415,0,0,195.6,99,267.8,120,164.9,76,16.0,2,0
NM,56,408,0,0,197.0,110,222.8,102,225.3,91,10.6,6,2
CA,151,415,1,0,218.0,57,114.4,88,269.2,95,12.4,1,0
NY,32,415,0,0,164.8,98,229.9,96,167.3,108,14.8,2,2
AZ,90,415,0,0,179.2,77,210.7,99,276.9,58,9.2,6,2
DC,138,415,0,0,170.5,87,118.2,116,187.9,111,11.2,7,2
ND,79,408,0,0,205.7,123,214.5,108,226.1,106,6.7,18,1
MO,95,415,1,0,165.5,84,286.2,112,198.9,89,11.5,2,1
KS,127,415,0,0,221.0,100,160.7,113,233.1,96,6.8,4,2
SD,137,510,0,0,242.1,118,191.0,93,218.6,50,14.7,2,3
OK,97,415,0,0,151.6,107,155.4,96,240.0,112,14.7,4,1
OR,149,415,1,0,176.2,87,145.0,81,249.5,92,5.7,4,0
IN,117,415,1,22,196.0,82,322.7,82,225.6,120,3.7,5,1
OH,84,408,0,0,159.5,125,247.1,90,187.9,82,7.2,4,2
KS,137,415,0,0,230.2,113,220.4,79,204.7,111,10.7,7,4
CT,99,415,0,0,146.7,64,274.0,99,321.3,98,8.9,1,3
WI,85,415,0,0,102.0,95,270.2,139,148.2,105,10.7,3,1
MS,150,510,0,0,126.0,99,238.5,73,285.1,100,10.2,6,3
WV,43,415,0,0,168.4,125,243.8,89,214.7,102,11.1,2,1
MD,98,415,0,0,206.5,92,176.2,152,232.8,115,12.4,5,5
PA,112,510,0,0,217.1,76,205.2,100,185.7,91,9.4,3,2
WI,16,510,0,0,229.6,78,205.7,108,166.2,91,10.8,2,0
TN,98,415,0,22,278.3,89,93.4,143,107.6,42,9.7,5,0
IL,84,510,0,0,181.5,129,130.7,112,186.5,118,8.5,4,1
DC,66,415,0,0,167.3,91,230.0,68,191.7,118,10.6,5,1
GA,98,415,0,31,121.0,105,218.9,98,226.7,110,12.0,1,1
ID,74,415,0,0,221.1,124,110.8,94,240.1,112,10.6,3,0
KY,119,510,0,0,222.8,122,163.2,107,160.6,112,11.2,6,1
OH,73,415,0,0,183.4,80,242.0,115,201.4,100,7.5,3,4
WI,92,415,1,0,264.3,91,160.9,115,198.6,73,9.3,5,0
IL,21,415,0,0,146.0,78,109.7,79,247.4,108,6.8,7,0
DE,122,510,0,0,157.1,134,184.9,122,197.2,59,8.5,5,4
RI,133,510,1,0,127.3,108,251.3,81,135.0,88,10.3,3,1
TX,145,415,0,0,187.9,110,197.0,117,167.0,108,4.8,4,2
OR,25,408,0,0,178.8,90,141.2,72,203.0,99,8.4,5,2
MS,126,415,0,0,256.5,112,199.5,90,188.3,122,7.0,5,3
OR,76,415,0,0,169.5,77,124.0,87,219.4,92,10.0,3,0
DE,113,415,0,0,239.7,47,282.9,110,238.4,88,8.7,3,2
DE,224,510,1,0,171.5,99,160.0,103,212.4,102,5.0,2,1
SD,128,408,0,34,142.3,73,194.8,79,239.3,81,16.0,6,1
NV,115,415,0,0,184.1,98,327.0,73,212.5,106,7.5,6,2
NM,141,415,0,28,206.9,126,264.4,126,171.8,124,9.3,11,2
MN,51,510,0,0,259.9,114,176.2,94,77.2,112,15.3,1,1
NJ,100,415,0,0,203.8,122,283.1,76,197.3,83,12.5,3,0
IN,96,415,0,45,248.8,124,140.3,77,263.6,102,10.3,2,3
ME,163,415,0,0,122.4,129,113.4,108,180.2,97,12.5,7,1
NH,67,415,0,40,104.9,65,216.3,93,217.4,128,9.6,9,1
OR,49,510,0,0,119.4,69,273.3,92,214.4,153,12.4,7,2
KS,46,510,0,0,250.3,100,260.6,90,195.0,104,13.3,2,2
NE,148,415,0,0,178.3,98,282.6,110,181.0,98,11.4,4,1
MI,112,510,0,0,243.4,77,182.1,97,259.2,94,12.8,2,1
SC,78,415,0,0,155.0,106,175.3,101,155.6,125,11.8,5,2
PA,61,408,0,31,288.7,101,203.8,102,203.2,49,8.6,3,0
MT,58,510,0,29,240.4,80,118.9,91,164.2,108,11.2,3,1
NM,155,415,0,0,190.3,123,301.3,96,214.6,134,8.0,3,1
OH,100,510,0,0,278.0,76,176.7,74,219.5,126,8.3,4,0
WY,113,510,0,0,155.0,93,330.6,106,189.4,123,13.5,3,1
AR,135,510,0,27,273.4,141,154.0,99,245.8,112,12.3,6,1
FL,99,408,0,0,155.3,93,265.7,95,145.7,67,12.4,4,0
AR,59,510,0,29,133.1,114,221.2,82,131.6,103,6.8,3,1
MO,135,510,0,0,246.8,129,187.8,121,154.5,109,12.6,5,1
WI,85,408,1,0,165.4,107,196.0,126,349.2,110,9.6,7,2
TX,88,510,0,0,138.3,116,236.0,138,179.1,110,9.6,4,3
NM,55,510,0,0,286.7,100,134.4,121,192.9,122,6.9,5,2
GA,75,415,0,0,117.3,114,201.1,61,107.9,82,12.2,3,1
KS,86,408,0,23,225.5,107,246.3,105,245.7,81,9.8,2,0
OH,97,408,0,0,256.4,125,273.9,100,222.7,101,11.1,1,1
MA,88,415,0,0,264.8,124,245.4,112,160.5,115,14.8,2,1
KY,54,408,0,0,159.8,99,264.0,64,115.7,70,9.7,7,2
DC,11,415,0,28,190.6,86,220.1,122,180.3,80,6.0,3,3
WA,109,415,0,0,184.0,120,120.4,119,153.7,86,11.0,3,0
UT,90,415,0,0,261.8,128,220.6,104,136.6,91,9.6,5,1
NV,91,408,0,0,133.7,75,195.3,87,280.5,89,5.9,2,0
